c
c wadup
c
p MUBQP 0 2 10 0.3
p matrices
-5 -63
-76 -79
-51 -59
3 21
-21 30
30 84
60 -80
0 0
-20 -33
42 -99
-22 12
-85 48
50 99
-61 -11
0 0
-20 19
61 67
64 -23
0 0
-99 23
-46 -37
-18 64
-33 -62
-89 -16
29 -51
-82 4
-54 -95
-98 25
-2 47
-72 -42
0 0
61 1
11 -36
0 0
0 0
-67 -45
-45 -17
24 67
11 21
0 0
-74 41
-43 -88
-90 -91
93 51
0 0
-93 62
9 80
0 0
86 47
-88 -47
0 0
64 -61
67 -21
-32 -55
0 0
0 0
-78 52
0 0
-24 82
-13 -61
0 0
0 0
61 -87
27 -95
0 0
-43 -100
0 0
0 0
-28 97
-77 23
11 14
43 42
-80 -62
54 40
-100 -100
0 0
91 45
-24 -33
-5 1
-15 -62
0 0
-33 -89
-44 -73
-52 -36
0 0
-75 6
0 0
91 85
-49 32
-40 99
0 0
0 0
0 0
-6 6
0 -28
65 23
0 0
-11 10
-66 -36
77 -83
